Name	Set	ImageFile	CardType
ANS0066	Basic	ANS0066.png	Answer
ANS0067	Basic	ANS0067.png	Answer
ANS0068	Basic	ANS0068.png	Answer
ANS0069	Basic	ANS0069.png	Answer
ANS0070	Basic	ANS0070.png	Answer
ANS0071	Basic	ANS0071.png	Answer
ANS0072	Basic	ANS0072.png	Answer
ANS0073	Basic	ANS0073.png	Answer
ANS0074	Basic	ANS0074.png	Answer
ANS0075	Basic	ANS0075.png	Answer
ANS0076	Basic	ANS0076.png	Answer
ANS0077	Basic	ANS0077.png	Answer
ANS0078	Basic	ANS0078.png	Answer
ANS0079	Basic	ANS0079.png	Answer
ANS0080	Basic	ANS0080.png	Answer
ANS0081	Basic	ANS0081.png	Answer
ANS0082	Basic	ANS0082.png	Answer
ANS0083	Basic	ANS0083.png	Answer
ANS0084	Basic	ANS0084.png	Answer
ANS0085	Basic	ANS0085.png	Answer
ANS0086	Basic	ANS0086.png	Answer
ANS0087	Basic	ANS0087.png	Answer
ANS0088	Basic	ANS0088.png	Answer
ANS0089	Basic	ANS0089.png	Answer
ANS0090	Basic	ANS0090.png	Answer
ANS0091	Basic	ANS0091.png	Answer
ANS0092	Basic	ANS0092.png	Answer
ANS0093	Basic	ANS0093.png	Answer
ANS0094	Basic	ANS0094.png	Answer
ANS0095	Basic	ANS0095.png	Answer
ANS0096	Basic	ANS0096.png	Answer
ANS0097	Basic	ANS0097.png	Answer
ANS0098	Basic	ANS0098.png	Answer
ANS0099	Basic	ANS0099.png	Answer
ANS0100	Basic	ANS0100.png	Answer
ANS0101	Basic	ANS0101.png	Answer
ANS0102	Basic	ANS0102.png	Answer
ANS0103	Basic	ANS0103.png	Answer
ANS0104	Basic	ANS0104.png	Answer
ANS0105	Basic	ANS0105.png	Answer
ANS0106	Basic	ANS0106.png	Answer
ANS0107	Basic	ANS0107.png	Answer
ANS0108	Basic	ANS0108.png	Answer
ANS0109	Basic	ANS0109.png	Answer
ANS0110	Basic	ANS0110.png	Answer
ANS0111	Basic	ANS0111.png	Answer
ANS0112	Basic	ANS0112.png	Answer
ANS0113	Basic	ANS0113.png	Answer
ANS0114	Basic	ANS0114.png	Answer
ANS0115	Basic	ANS0115.png	Answer
ANS0116	Basic	ANS0116.png	Answer
ANS0117	Basic	ANS0117.png	Answer
ANS0118	Basic	ANS0118.png	Answer
ANS0119	Basic	ANS0119.png	Answer
ANS0120	Basic	ANS0120.png	Answer
ANS0121	Basic	ANS0121.png	Answer
ANS0122	Basic	ANS0122.png	Answer
ANS0123	Basic	ANS0123.png	Answer
ANS0124	Basic	ANS0124.png	Answer
ANS0125	Basic	ANS0125.png	Answer
ANS0126	Basic	ANS0126.png	Answer
ANS0127	Basic	ANS0127.png	Answer
ANS0128	Basic	ANS0128.png	Answer
ANS0129	Basic	ANS0129.png	Answer
ANS0130	Basic	ANS0130.png	Answer
ANS0131	Basic	ANS0131.png	Answer
ANS0132	Basic	ANS0132.png	Answer
ANS0133	Basic	ANS0133.png	Answer
ANS0134	Basic	ANS0134.png	Answer
ANS0135	Basic	ANS0135.png	Answer
ANS0136	Basic	ANS0136.png	Answer
ANS0137	Basic	ANS0137.png	Answer
ANS0138	Basic	ANS0138.png	Answer
ANS0139	Basic	ANS0139.png	Answer
ANS0140	Basic	ANS0140.png	Answer
ANS0141	Basic	ANS0141.png	Answer
ANS0142	Basic	ANS0142.png	Answer
ANS0143	Basic	ANS0143.png	Answer
ANS0144	Basic	ANS0144.png	Answer
ANS0145	Basic	ANS0145.png	Answer
ANS0146	Basic	ANS0146.png	Answer
ANS0147	Basic	ANS0147.png	Answer
ANS0148	Basic	ANS0148.png	Answer
ANS0149	Basic	ANS0149.png	Answer
ANS0150	Basic	ANS0150.png	Answer
ANS0151	Basic	ANS0151.png	Answer
ANS0152	Basic	ANS0152.png	Answer
ANS0153	Basic	ANS0153.png	Answer
ANS0154	Basic	ANS0154.png	Answer
ANS0155	Basic	ANS0155.png	Answer
ANS0156	Basic	ANS0156.png	Answer
ANS0157	Basic	ANS0157.png	Answer
ANS0158	Basic	ANS0158.png	Answer
ANS0159	Basic	ANS0159.png	Answer
ANS0160	Basic	ANS0160.png	Answer
ANS0161	Basic	ANS0161.png	Answer
ANS0162	Basic	ANS0162.png	Answer
ANS0163	Basic	ANS0163.png	Answer
ANS0164	Basic	ANS0164.png	Answer
ANS0165	Basic	ANS0165.png	Answer
ANS0166	Basic	ANS0166.png	Answer
ANS0167	Basic	ANS0167.png	Answer
ANS0168	Basic	ANS0168.png	Answer
ANS0169	Basic	ANS0169.png	Answer
ANS0170	Basic	ANS0170.png	Answer
ANS0171	Basic	ANS0171.png	Answer
ANS0172	Basic	ANS0172.png	Answer
ANS0173	Basic	ANS0173.png	Answer
ANS0174	Basic	ANS0174.png	Answer
ANS0175	Basic	ANS0175.png	Answer
ANS0176	Basic	ANS0176.png	Answer
ANS0177	Basic	ANS0177.png	Answer
ANS0178	Basic	ANS0178.png	Answer
ANS0179	Basic	ANS0179.png	Answer
ANS0180	Basic	ANS0180.png	Answer
ANS0181	Basic	ANS0181.png	Answer
ANS0182	Basic	ANS0182.png	Answer
ANS0183	Basic	ANS0183.png	Answer
ANS0184	Basic	ANS0184.png	Answer
ANS0185	Basic	ANS0185.png	Answer
ANS0186	Basic	ANS0186.png	Answer
ANS0187	Basic	ANS0187.png	Answer
ANS0188	Basic	ANS0188.png	Answer
ANS0189	Basic	ANS0189.png	Answer
ANS0190	Basic	ANS0190.png	Answer
ANS0191	Basic	ANS0191.png	Answer
ANS0192	Basic	ANS0192.png	Answer
ANS0193	Basic	ANS0193.png	Answer
ANS0194	Basic	ANS0194.png	Answer
ANS0195	Basic	ANS0195.png	Answer
ANS0196	Basic	ANS0196.png	Answer
ANS0197	Basic	ANS0197.png	Answer
ANS0198	Basic	ANS0198.png	Answer
ANS0199	Basic	ANS0199.png	Answer
ANS0200	Basic	ANS0200.png	Answer
ANS0201	Basic	ANS0201.png	Answer
ANS0202	Basic	ANS0202.png	Answer
ANS0203	Basic	ANS0203.png	Answer
ANS0204	Basic	ANS0204.png	Answer
ANS0205	Basic	ANS0205.png	Answer
ANS0206	Basic	ANS0206.png	Answer
ANS0207	Basic	ANS0207.png	Answer
ANS0208	Basic	ANS0208.png	Answer
ANS0209	Basic	ANS0209.png	Answer
ANS0210	Basic	ANS0210.png	Answer
ANS0211	Basic	ANS0211.png	Answer
ANS0212	Basic	ANS0212.png	Answer
ANS0213	Basic	ANS0213.png	Answer
ANS0214	Basic	ANS0214.png	Answer
ANS0215	Basic	ANS0215.png	Answer
ANS0216	Basic	ANS0216.png	Answer
ANS0217	Basic	ANS0217.png	Answer
ANS0218	Basic	ANS0218.png	Answer
ANS0219	Basic	ANS0219.png	Answer
ANS0220	Basic	ANS0220.png	Answer
ANS0221	Basic	ANS0221.png	Answer
ANS0222	Basic	ANS0222.png	Answer
ANS0223	Basic	ANS0223.png	Answer
ANS0224	Basic	ANS0224.png	Answer
ANS0225	Basic	ANS0225.png	Answer
ANS0226	Basic	ANS0226.png	Answer
ANS0227	Basic	ANS0227.png	Answer
ANS0228	Basic	ANS0228.png	Answer
ANS0229	Basic	ANS0229.png	Answer
ANS0230	Basic	ANS0230.png	Answer
ANS0231	Basic	ANS0231.png	Answer
ANS0232	Basic	ANS0232.png	Answer
ANS0233	Basic	ANS0233.png	Answer
ANS0234	Basic	ANS0234.png	Answer
ANS0235	Basic	ANS0235.png	Answer
ANS0236	Basic	ANS0236.png	Answer
ANS0237	Basic	ANS0237.png	Answer
ANS0238	Basic	ANS0238.png	Answer
ANS0239	Basic	ANS0239.png	Answer
ANS0240	Basic	ANS0240.png	Answer
ANS0241	Basic	ANS0241.png	Answer
ANS0242	Basic	ANS0242.png	Answer
ANS0243	Basic	ANS0243.png	Answer
ANS0244	Basic	ANS0244.png	Answer
ANS0245	Basic	ANS0245.png	Answer
ANS0246	Basic	ANS0246.png	Answer
ANS0247	Basic	ANS0247.png	Answer
ANS0248	Basic	ANS0248.png	Answer
ANS0249	Basic	ANS0249.png	Answer
ANS0250	Basic	ANS0250.png	Answer
ANS0251	Basic	ANS0251.png	Answer
ANS0252	Basic	ANS0252.png	Answer
ANS0253	Basic	ANS0253.png	Answer
ANS0254	Basic	ANS0254.png	Answer
ANS0255	Basic	ANS0255.png	Answer
ANS0256	Basic	ANS0256.png	Answer
ANS0257	Basic	ANS0257.png	Answer
ANS0258	Basic	ANS0258.png	Answer
ANS0259	Basic	ANS0259.png	Answer
ANS0260	Basic	ANS0260.png	Answer
ANS0261	Basic	ANS0261.png	Answer
ANS0262	Basic	ANS0262.png	Answer
ANS0263	Basic	ANS0263.png	Answer
ANS0264	Basic	ANS0264.png	Answer
ANS0265	Basic	ANS0265.png	Answer
ANS0266	Basic	ANS0266.png	Answer
ANS0267	Basic	ANS0267.png	Answer
ANS0268	Basic	ANS0268.png	Answer
ANS0269	Basic	ANS0269.png	Answer
ANS0270	Basic	ANS0270.png	Answer
ANS0271	Basic	ANS0271.png	Answer
ANS0272	Basic	ANS0272.png	Answer
ANS0273	Basic	ANS0273.png	Answer
ANS0274	Basic	ANS0274.png	Answer
ANS0275	Basic	ANS0275.png	Answer
ANS0276	Basic	ANS0276.png	Answer
ANS0277	Basic	ANS0277.png	Answer
ANS0278	Basic	ANS0278.png	Answer
ANS0279	Basic	ANS0279.png	Answer
ANS0280	Basic	ANS0280.png	Answer
ANS0281	Basic	ANS0281.png	Answer
ANS0282	Basic	ANS0282.png	Answer
ANS0283	Basic	ANS0283.png	Answer
ANS0284	Basic	ANS0284.png	Answer
ANS0285	Basic	ANS0285.png	Answer
ANS0286	Basic	ANS0286.png	Answer
ANS0287	Basic	ANS0287.png	Answer
ANS0288	Basic	ANS0288.png	Answer
ANS0289	Basic	ANS0289.png	Answer
ANS0290	Basic	ANS0290.png	Answer
ANS0291	Basic	ANS0291.png	Answer
ANS0292	Basic	ANS0292.png	Answer
ANS0293	Basic	ANS0293.png	Answer
ANS0294	Basic	ANS0294.png	Answer
ANS0295	Basic	ANS0295.png	Answer
ANS0296	Basic	ANS0296.png	Answer
ANS0297	Basic	ANS0297.png	Answer
ANS0298	Basic	ANS0298.png	Answer
ANS0299	Basic	ANS0299.png	Answer
ANS0300	Basic	ANS0300.png	Answer
ANS0301	Basic	ANS0301.png	Answer
ANS0302	Basic	ANS0302.png	Answer
ANS0303	Basic	ANS0303.png	Answer
ANS0304	Basic	ANS0304.png	Answer
ANS0305	Basic	ANS0305.png	Answer
ANS0306	Basic	ANS0306.png	Answer
ANS0307	Basic	ANS0307.png	Answer
ANS0308	Basic	ANS0308.png	Answer
ANS0309	Basic	ANS0309.png	Answer
ANS0310	Basic	ANS0310.png	Answer
ANS0311	Basic	ANS0311.png	Answer
ANS0312	Basic	ANS0312.png	Answer
ANS0313	Basic	ANS0313.png	Answer
ANS0314	Basic	ANS0314.png	Answer
ANS0315	Basic	ANS0315.png	Answer
ANS0316	Basic	ANS0316.png	Answer
ANS0317	Basic	ANS0317.png	Answer
ANS0318	Basic	ANS0318.png	Answer
ANS0319	Basic	ANS0319.png	Answer
ANS0320	Basic	ANS0320.png	Answer
ANS0321	Basic	ANS0321.png	Answer
ANS0322	Basic	ANS0322.png	Answer
ANS0323	Basic	ANS0323.png	Answer
ANS0324	Basic	ANS0324.png	Answer
ANS0325	Basic	ANS0325.png	Answer
ANS0326	Basic	ANS0326.png	Answer
ANS0327	Basic	ANS0327.png	Answer
ANS0328	Basic	ANS0328.png	Answer
ANS0329	Basic	ANS0329.png	Answer
ANS0330	Basic	ANS0330.png	Answer
ANS0331	Basic	ANS0331.png	Answer
ANS0332	Basic	ANS0332.png	Answer
ANS0333	Basic	ANS0333.png	Answer
ANS0334	Basic	ANS0334.png	Answer
ANS0335	Basic	ANS0335.png	Answer
ANS0336	Basic	ANS0336.png	Answer
ANS0337	Basic	ANS0337.png	Answer
ANS0338	Basic	ANS0338.png	Answer
ANS0410	Basic	ANS0410.png	Answer
ANS0411	Basic	ANS0411.png	Answer
ANS0412	Basic	ANS0412.png	Answer
ANS0413	Basic	ANS0413.png	Answer
ANS0414	Basic	ANS0414.png	Answer
ANS0415	Basic	ANS0415.png	Answer
ANS0416	Basic	ANS0416.png	Answer
ANS0417	Basic	ANS0417.png	Answer
ANS0418	Basic	ANS0418.png	Answer
ANS0419	Basic	ANS0419.png	Answer
ANS0420	Basic	ANS0420.png	Answer
ANS0421	Basic	ANS0421.png	Answer
ANS0422	Basic	ANS0422.png	Answer
ANS0423	Basic	ANS0423.png	Answer
ANS0424	Basic	ANS0424.png	Answer
ANS0425	Basic	ANS0425.png	Answer
ANS0426	Basic	ANS0426.png	Answer
ANS0427	Basic	ANS0427.png	Answer
ANS0428	1st	ANS0428.png	Answer
ANS0429	1st	ANS0429.png	Answer
ANS0430	1st	ANS0430.png	Answer
ANS0431	1st	ANS0431.png	Answer
ANS0432	1st	ANS0432.png	Answer
ANS0433	1st	ANS0433.png	Answer
ANS0434	1st	ANS0434.png	Answer
ANS0435	1st	ANS0435.png	Answer
ANS0436	1st	ANS0436.png	Answer
ANS0437	1st	ANS0437.png	Answer
ANS0438	1st	ANS0438.png	Answer
ANS0439	1st	ANS0439.png	Answer
ANS0440	1st	ANS0440.png	Answer
ANS0441	1st	ANS0441.png	Answer
ANS0442	1st	ANS0442.png	Answer
ANS0443	1st	ANS0443.png	Answer
ANS0444	1st	ANS0444.png	Answer
ANS0445	1st	ANS0445.png	Answer
ANS0446	1st	ANS0446.png	Answer
ANS0447	1st	ANS0447.png	Answer
ANS0448	1st	ANS0448.png	Answer
ANS0449	1st	ANS0449.png	Answer
ANS0450	1st	ANS0450.png	Answer
ANS0451	1st	ANS0451.png	Answer
ANS0452	1st	ANS0452.png	Answer
ANS0453	1st	ANS0453.png	Answer
ANS0454	1st	ANS0454.png	Answer
ANS0455	1st	ANS0455.png	Answer
ANS0456	1st	ANS0456.png	Answer
ANS0457	1st	ANS0457.png	Answer
ANS0458	1st	ANS0458.png	Answer
ANS0459	1st	ANS0459.png	Answer
ANS0460	1st	ANS0460.png	Answer
ANS0461	1st	ANS0461.png	Answer
ANS0462	1st	ANS0462.png	Answer
ANS0463	1st	ANS0463.png	Answer
ANS0464	1st	ANS0464.png	Answer
ANS0465	1st	ANS0465.png	Answer
ANS0466	1st	ANS0466.png	Answer
ANS0467	1st	ANS0467.png	Answer
ANS0468	1st	ANS0468.png	Answer
ANS0469	1st	ANS0469.png	Answer
ANS0470	1st	ANS0470.png	Answer
ANS0471	1st	ANS0471.png	Answer
ANS0472	1st	ANS0472.png	Answer
ANS0473	1st	ANS0473.png	Answer
ANS0474	1st	ANS0474.png	Answer
ANS0475	1st	ANS0475.png	Answer
ANS0476	1st	ANS0476.png	Answer
ANS0477	1st	ANS0477.png	Answer
ANS0478	1st	ANS0478.png	Answer
ANS0479	1st	ANS0479.png	Answer
ANS0480	1st	ANS0480.png	Answer
ANS0481	1st	ANS0481.png	Answer
ANS0482	1st	ANS0482.png	Answer
ANS0483	1st	ANS0483.png	Answer
ANS0484	1st	ANS0484.png	Answer
ANS0485	1st	ANS0485.png	Answer
ANS0486	1st	ANS0486.png	Answer
ANS0487	1st	ANS0487.png	Answer
ANS0488	1st	ANS0488.png	Answer
ANS0489	1st	ANS0489.png	Answer
ANS0490	1st	ANS0490.png	Answer
ANS0491	1st	ANS0491.png	Answer
ANS0492	1st	ANS0492.png	Answer
ANS0493	1st	ANS0493.png	Answer
ANS0494	1st	ANS0494.png	Answer
ANS0495	1st	ANS0495.png	Answer
ANS0496	1st	ANS0496.png	Answer
ANS0497	1st	ANS0497.png	Answer
ANS0498	1st	ANS0498.png	Answer
ANS0499	1st	ANS0499.png	Answer
ANS0500	1st	ANS0500.png	Answer
ANS0501	1st	ANS0501.png	Answer
ANS0502	1st	ANS0502.png	Answer
ANS0503	1st	ANS0503.png	Answer
ANS0504	1st	ANS0504.png	Answer
ANS0505	1st	ANS0505.png	Answer
ANS0506	1st	ANS0506.png	Answer
ANS0507	1st	ANS0507.png	Answer
ANS0508	2nd	ANS0508.png	Answer
ANS0509	2nd	ANS0509.png	Answer
ANS0510	2nd	ANS0510.png	Answer
ANS0511	2nd	ANS0511.png	Answer
ANS0512	2nd	ANS0512.png	Answer
ANS0513	2nd	ANS0513.png	Answer
ANS0514	2nd	ANS0514.png	Answer
ANS0515	2nd	ANS0515.png	Answer
ANS0516	2nd	ANS0516.png	Answer
ANS0517	2nd	ANS0517.png	Answer
ANS0518	2nd	ANS0518.png	Answer
ANS0519	2nd	ANS0519.png	Answer
ANS0520	2nd	ANS0520.png	Answer
ANS0521	2nd	ANS0521.png	Answer
ANS0522	2nd	ANS0522.png	Answer
ANS0523	2nd	ANS0523.png	Answer
ANS0524	2nd	ANS0524.png	Answer
ANS0525	2nd	ANS0525.png	Answer
ANS0526	2nd	ANS0526.png	Answer
ANS0527	2nd	ANS0527.png	Answer
ANS0528	2nd	ANS0528.png	Answer
ANS0529	2nd	ANS0529.png	Answer
ANS0530	2nd	ANS0530.png	Answer
ANS0531	2nd	ANS0531.png	Answer
ANS0532	2nd	ANS0532.png	Answer
ANS0533	2nd	ANS0533.png	Answer
ANS0534	2nd	ANS0534.png	Answer
ANS0535	2nd	ANS0535.png	Answer
ANS0536	2nd	ANS0536.png	Answer
ANS0537	2nd	ANS0537.png	Answer
ANS0538	2nd	ANS0538.png	Answer
ANS0539	2nd	ANS0539.png	Answer
ANS0540	2nd	ANS0540.png	Answer
ANS0541	2nd	ANS0541.png	Answer
ANS0542	2nd	ANS0542.png	Answer
ANS0543	2nd	ANS0543.png	Answer
ANS0544	2nd	ANS0544.png	Answer
ANS0545	2nd	ANS0545.png	Answer
ANS0546	2nd	ANS0546.png	Answer
ANS0547	2nd	ANS0547.png	Answer
ANS0548	2nd	ANS0548.png	Answer
ANS0549	2nd	ANS0549.png	Answer
ANS0550	2nd	ANS0550.png	Answer
ANS0551	2nd	ANS0551.png	Answer
ANS0552	2nd	ANS0552.png	Answer
ANS0553	2nd	ANS0553.png	Answer
ANS0554	2nd	ANS0554.png	Answer
ANS0555	2nd	ANS0555.png	Answer
ANS0556	2nd	ANS0556.png	Answer
ANS0557	2nd	ANS0557.png	Answer
ANS0558	2nd	ANS0558.png	Answer
ANS0559	2nd	ANS0559.png	Answer
ANS0560	2nd	ANS0560.png	Answer
ANS0561	2nd	ANS0561.png	Answer
ANS0562	2nd	ANS0562.png	Answer
ANS0563	2nd	ANS0563.png	Answer
ANS0564	2nd	ANS0564.png	Answer
ANS0565	2nd	ANS0565.png	Answer
ANS0566	2nd	ANS0566.png	Answer
ANS0567	2nd	ANS0567.png	Answer
ANS0568	2nd	ANS0568.png	Answer
ANS0569	2nd	ANS0569.png	Answer
ANS0570	2nd	ANS0570.png	Answer
ANS0571	2nd	ANS0571.png	Answer
ANS0572	2nd	ANS0572.png	Answer
ANS0573	2nd	ANS0573.png	Answer
ANS0574	2nd	ANS0574.png	Answer
ANS0575	2nd	ANS0575.png	Answer
ANS0576	2nd	ANS0576.png	Answer
ANS0577	2nd	ANS0577.png	Answer
ANS0578	2nd	ANS0578.png	Answer
ANS0579	2nd	ANS0579.png	Answer
ANS0580	2nd	ANS0580.png	Answer
ANS0581	2nd	ANS0581.png	Answer
ANS0582	2nd	ANS0582.png	Answer
ANS0583	3rd	ANS0583.png	Answer
ANS0584	3rd	ANS0584.png	Answer
ANS0585	3rd	ANS0585.png	Answer
ANS0586	3rd	ANS0586.png	Answer
ANS0587	3rd	ANS0587.png	Answer
ANS0588	3rd	ANS0588.png	Answer
ANS0589	3rd	ANS0589.png	Answer
ANS0590	3rd	ANS0590.png	Answer
ANS0591	3rd	ANS0591.png	Answer
ANS0592	3rd	ANS0592.png	Answer
ANS0593	3rd	ANS0593.png	Answer
ANS0594	3rd	ANS0594.png	Answer
ANS0595	3rd	ANS0595.png	Answer
ANS0596	3rd	ANS0596.png	Answer
ANS0597	3rd	ANS0597.png	Answer
ANS0598	3rd	ANS0598.png	Answer
ANS0599	3rd	ANS0599.png	Answer
ANS0600	3rd	ANS0600.png	Answer
ANS0601	3rd	ANS0601.png	Answer
ANS0602	3rd	ANS0602.png	Answer
ANS0603	3rd	ANS0603.png	Answer
ANS0604	3rd	ANS0604.png	Answer
ANS0605	3rd	ANS0605.png	Answer
ANS0606	3rd	ANS0606.png	Answer
ANS0607	3rd	ANS0607.png	Answer
ANS0608	3rd	ANS0608.png	Answer
ANS0609	3rd	ANS0609.png	Answer
ANS0610	3rd	ANS0610.png	Answer
ANS0611	3rd	ANS0611.png	Answer
ANS0612	3rd	ANS0612.png	Answer
ANS0613	3rd	ANS0613.png	Answer
ANS0614	3rd	ANS0614.png	Answer
ANS0615	3rd	ANS0615.png	Answer
ANS0616	3rd	ANS0616.png	Answer
ANS0617	3rd	ANS0617.png	Answer
ANS0618	3rd	ANS0618.png	Answer
ANS0619	3rd	ANS0619.png	Answer
ANS0620	3rd	ANS0620.png	Answer
ANS0621	3rd	ANS0621.png	Answer
ANS0622	3rd	ANS0622.png	Answer
ANS0623	3rd	ANS0623.png	Answer
ANS0624	3rd	ANS0624.png	Answer
ANS0625	3rd	ANS0625.png	Answer
ANS0626	3rd	ANS0626.png	Answer
ANS0627	3rd	ANS0627.png	Answer
ANS0628	3rd	ANS0628.png	Answer
ANS0629	3rd	ANS0629.png	Answer
ANS0630	3rd	ANS0630.png	Answer
ANS0631	3rd	ANS0631.png	Answer
ANS0632	3rd	ANS0632.png	Answer
ANS0633	3rd	ANS0633.png	Answer
ANS0634	3rd	ANS0634.png	Answer
ANS0635	3rd	ANS0635.png	Answer
ANS0636	3rd	ANS0636.png	Answer
ANS0637	3rd	ANS0637.png	Answer
ANS0638	3rd	ANS0638.png	Answer
ANS0639	3rd	ANS0639.png	Answer
ANS0640	3rd	ANS0640.png	Answer
ANS0641	3rd	ANS0641.png	Answer
ANS0642	3rd	ANS0642.png	Answer
ANS0643	3rd	ANS0643.png	Answer
ANS0644	3rd	ANS0644.png	Answer
ANS0645	3rd	ANS0645.png	Answer
ANS0646	3rd	ANS0646.png	Answer
ANS0647	3rd	ANS0647.png	Answer
ANS0648	3rd	ANS0648.png	Answer
ANS0649	3rd	ANS0649.png	Answer
ANS0650	3rd	ANS0650.png	Answer
ANS0651	3rd	ANS0651.png	Answer
ANS0652	3rd	ANS0652.png	Answer
ANS0653	3rd	ANS0653.png	Answer
ANS0654	3rd	ANS0654.png	Answer
ANS0655	3rd	ANS0655.png	Answer
ANS0656	3rd	ANS0656.png	Answer
ANS0657	3rd	ANS0657.png	Answer
ANS0658	4th	ANS0658.png	Answer
ANS0659	4th	ANS0659.png	Answer
ANS0660	4th	ANS0660.png	Answer
ANS0661	4th	ANS0661.png	Answer
ANS0662	4th	ANS0662.png	Answer
ANS0663	4th	ANS0663.png	Answer
ANS0664	4th	ANS0664.png	Answer
ANS0665	4th	ANS0665.png	Answer
ANS0666	4th	ANS0666.png	Answer
ANS0667	4th	ANS0667.png	Answer
ANS0668	4th	ANS0668.png	Answer
ANS0669	4th	ANS0669.png	Answer
ANS0670	4th	ANS0670.png	Answer
ANS0671	4th	ANS0671.png	Answer
ANS0672	4th	ANS0672.png	Answer
ANS0673	4th	ANS0673.png	Answer
ANS0674	4th	ANS0674.png	Answer
ANS0675	4th	ANS0675.png	Answer
ANS0676	4th	ANS0676.png	Answer
ANS0677	4th	ANS0677.png	Answer
ANS0678	4th	ANS0678.png	Answer
ANS0679	4th	ANS0679.png	Answer
ANS0680	4th	ANS0680.png	Answer
ANS0681	4th	ANS0681.png	Answer
ANS0682	4th	ANS0682.png	Answer
ANS0683	4th	ANS0683.png	Answer
ANS0684	4th	ANS0684.png	Answer
ANS0685	4th	ANS0685.png	Answer
ANS0686	4th	ANS0686.png	Answer
ANS0687	4th	ANS0687.png	Answer
ANS0688	4th	ANS0688.png	Answer
ANS0689	4th	ANS0689.png	Answer
ANS0690	4th	ANS0690.png	Answer
ANS0691	4th	ANS0691.png	Answer
ANS0692	4th	ANS0692.png	Answer
ANS0693	4th	ANS0693.png	Answer
ANS0694	4th	ANS0694.png	Answer
ANS0695	4th	ANS0695.png	Answer
ANS0696	4th	ANS0696.png	Answer
ANS0697	4th	ANS0697.png	Answer
ANS0698	4th	ANS0698.png	Answer
ANS0699	4th	ANS0699.png	Answer
ANS0700	4th	ANS0700.png	Answer
ANS0701	4th	ANS0701.png	Answer
ANS0702	4th	ANS0702.png	Answer
ANS0703	4th	ANS0703.png	Answer
ANS0704	4th	ANS0704.png	Answer
ANS0705	4th	ANS0705.png	Answer
ANS0706	4th	ANS0706.png	Answer
ANS0707	4th	ANS0707.png	Answer
ANS0708	4th	ANS0708.png	Answer
ANS0709	4th	ANS0709.png	Answer
ANS0710	4th	ANS0710.png	Answer
ANS0711	4th	ANS0711.png	Answer
ANS0712	4th	ANS0712.png	Answer
